Año,Grandes Grupos,Quinquenal,Subgrupo Farmacológico,Sexo,Nivel Renta,Situación Laboral,Tamaño Municipio,Personas con medicamento,Porcentaje
2017,15-34 años,15-19 años,N05A - ANTIPSICOTICOS,Hombre,18.000-99.999 ? /año,No activos,10.001-50.000 hab,311.0,0.0004
2017,15-34 años,15-19 años,N05A - ANTIPSICOTICOS,Hombre,18.000-99.999 ? /año,No activos,100.001-500.000 hab,287.0,0.0003
2017,15-34 años,15-19 años,N05A - ANTIPSICOTICOS,Hombre,<18.000 ? /año,No activos,<10.000 hab,458.0,0.0005
2017,15-34 años,15-19 años,N05A - ANTIPSICOTICOS,Hombre,<18.000 ? /año,No activos,10.001-50.000 hab,753.0,0.0009
2017,15-34 años,15-19 años,N05A - ANTIPSICOTICOS,Hombre,<18.000 ? /año,No activos,50.001-100.000 hab,488.0,0.0006
2017,15-34 años,15-19 años,N05A - ANTIPSICOTICOS,Hombre,<18.000 ? /año,No activos,100.001-500.000 hab,583.0,0.0007
2017,15-34 años,15-19 años,N05A - ANTIPSICOTICOS,Mujer,18.000-99.999 ? /año,No activos,100.001-500.000 hab,312.0,0.0004
2017,15-34 años,15-19 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,No activos,<10.000 hab,343.0,0.0004
2017,15-34 años,15-19 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,No activos,10.001-50.000 hab,416.0,0.0005
2017,15-34 años,15-19 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,No activos,50.001-100.000 hab,265.0,0.0003
2017,15-34 años,15-19 años,N05A - ANTIPSICOTICOS,Mujer,<18.000 ? /año,No activos,100.001-500.000 hab,377.0,0.0004
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Hombre,18.000-99.999 ? /año,No activos,<10.000 hab,319.0,0.0004
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Hombre,18.000-99.999 ? /año,No activos,10.001-50.000 hab,395.0,0.0005
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Hombre,18.000-99.999 ? /año,No activos,100.001-500.000 hab,321.0,0.0004
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,No activos,<10.000 hab,828.0,0.001
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,No activos,10.001-50.000 hab,1226.0,0.0014
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,No activos,50.001-100.000 hab,553.0,0.0006
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Hombre,<18.000 ? /año,No activos,100.001-500.000 hab,739.0,0.0009
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Mujer,18.000-99.999 ? /año,No activos,<10.000 hab,606.0,0.0007
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Mujer,18.000-99.999 ? /año,No activos,10.001-50.000 hab,795.0,0.0009
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Mujer,18.000-99.999 ? /año,No activos,50.001-100.000 hab,546.0,0.0006
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Mujer,18.000-99.999 ? /año,No activos,100.001-500.000 hab,881.0,0.001
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Mujer,18.000-99.999 ? /año,No activos,>500.000 hab,342.0,0.0004
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,Activos,10.001-50.000 hab,294.0,0.0003
2017,15-34 años,15-19 años,N05B - ANSIOLITICOS,Mujer,<18.000 ? /año,No activos,<10.000 hab,1476.0,0.0017
